IDJogo;DataHora;PontosCasa;PontosVisitante;IDEstadio;IDTimeCasa;IDTimeFora
504;27/12/2022 03:00;0;0;24;25;4
505;28/12/2022 00:00;0;0;21;22;14
506;28/12/2022 00:00;0;0;29;30;23
507;28/12/2022 00:30;0;0;2;2;11
508;28/12/2022 00:30;0;0;12;12;1
509;28/12/2022 00:30;0;0;27;28;13
510;28/12/2022 01:00;0;0;14;15;24
511;28/12/2022 01:00;0;0;20;21;27
512;28/12/2022 01:30;0;0;7;7;20
513;28/12/2022 03:00;0;0;10;10;4
514;28/12/2022 03:00;0;0;25;26;8
515;29/12/2022 00:00;0;0;9;9;22
516;29/12/2022 00:00;0;0;29;30;24
517;29/12/2022 00:30;0;0;1;1;3
518;29/12/2022 00:30;0;0;15;16;14
519;29/12/2022 01:00;0;0;5;5;17
520;29/12/2022 01:00;0;0;18;19;18
521;29/12/2022 03:00;0;0;10;10;29
522;29/12/2022 03:00;0;0;25;26;8
523;30/12/2022 00:00;0;0;4;4;21
524;30/12/2022 00:00;0;0;12;12;6
525;30/12/2022 00:30;0;0;2;2;13
526;30/12/2022 00:30;0;0;27;28;15
527;30/12/2022 01:00;0;0;26;27;20
528;30/12/2022 01:30;0;0;7;7;11
529;31/12/2022 00:00;0;0;21;22;30
530;31/12/2022 00:30;0;0;1;1;14
531;31/12/2022 00:30;0;0;27;28;24
532;31/12/2022 01:00;0;0;5;5;9
533;31/12/2022 01:00;0;0;16;17;18
534;31/12/2022 01:30;0;0;18;19;23
535;31/12/2022 02:00;0;0;8;8;16
536;31/12/2022 03:00;0;0;10;10;25
537;31/12/2022 03:00;0;0;25;26;29
538;31/12/2022 20:00;0;0;12;12;13
539;01/01/2023 00:00;0;0;4;4;3
540;01/01/2023 00:00;0;0;5;5;6
541;01/01/2023 00:00;0;0;11;11;20
542;01/01/2023 00:00;0;0;26;27;7
543;01/01/2023 01:00;0;0;14;15;19
544;01/01/2023 01:00;0;0;17;18;9
545;01/01/2023 01:00;0;0;20;21;23
546;01/01/2023 02:00;0;0;28;29;16
547;02/01/2023 01:00;0;0;14;15;26
